id,entidad,tipo,fecha
1,Michoacán,electoral,2021-02-02
2,Michoacán,electoral,2021-03-02
1,Michoacán,encuestas,2021-02-02
2,Michoacán,encuestas,2021-03-02
1,Michoacán,noticias,2021-02-02
2,Michoacán,noticias,2021-03-02
1,Michoacán,redes,2021-02-02
2,Michoacán,redes,2021-03-02
1,Nuevo León,electoral,2021-02-02
2,Nuevo León,electoral,2021-03-02
1,Nuevo León,encuestas,2021-02-02
2,Nuevo León,encuestas,2021-03-02
1,Nuevo León,noticias,2021-02-02
2,Nuevo León,noticias,2021-03-02
1,Nuevo León,redes,2021-02-02
2,Nuevo León,redes,2021-03-02
3,Michoacán,electoral,2021-03-02
3,Michoacán,encuestas,2021-03-02
3,Michoacán,noticias,2021-03-02
3,Michoacán,redes,2021-03-02